Total
4.5
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
2.5
1.5
1.0
1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
2.0
0.0
0.25
0.0
0.0
0.0
2.8333
0.3333
0.3333
0.0
0.3333
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
2.5
1.0
0.0
0.0
0.0
0.0
1.0
1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
9.5
4.5
4.5
4.0
0.5
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
3.0
1.0
1.0
1.0
0.0
0.0
1.0
0.0
1.0
0.0
0.0
0.0
0.0
0.0
0.0
2.0
0.0
0.0
0.0
0.0
0.0
7.89
4.75
4.5
4.0
0.5
0.0
0.0
0.0
0.25
0.25
0.0
0.0
0.0
0.0
1.7
1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.2
0.0
0.0
0.0
0.2
0.0
1.3
0.14
0.0
0.0
0.0
0.0
4.1667
1.1667
1.1667
1.0
0.1667
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
1.0
1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
2.0
0.0
0.25
0.0
0.0
0.0
4.5
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
2.5
1.5
0.0
0.0
0.0
0.0
1.0
0.0
1.0
0.0
0.0
0.0
0.0
0.0
0.0
1.95
0.0
0.25
0.0
0.0
0.0
1.3
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
1.0
0.0
1.0
1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.3
0.0
0.0
0.0
0.0
0.0
4.25
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
4.0
1.5
2.0
1.0
1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.25
0.0
0.0
0.0
4.775
1.625
1.5
1.0
0.5
0.0
0.0
0.0
0.125
0.0
0.125
0.0
0.0
0.0
1.5
1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
1.65
0.0
0.0
0.0
0.0
0.0
8.3333
4.8333
4.8333
4.0
0.8333
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
1.5
1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
2.4
0.0
0.0
0.0
0.0
0.0
1.0833
0.8333
0.8333
0.0
0.8333
0.0
0.0
0.0
0.0
0.0
0.0
0.0
