Puntuacion_Total
0.5
1.0
0.0
1.5
2.5
2.0
6.85
3.7
8.0
5.0
7.5833
4.5833
7.5
6.375
2.25
10.0
3.0
3.375
3.5
2.75
2.3125
4.0
4.3125
4.5
4.75
4.25
5.4375
4.125
5.5
4.0625
4.625
0.1875
1.9375
0.25
1.75
1.3125
6.5
1.25
0.75
6.25
0.4375
8.5
7.25
7.0
7.125
7.75
9.0
2.625
2.875
2.375
0.21
3.9375
3.125
3.3125
3.75
3.25
3.625
4.5625
5.875
6.9375
6.125
0.125
1.1875
0.875
1.625
6.0
0.375
0.625
6.625
4.0667
5.5333
5.7833
6.8167
7.0042
2.38
0.3
4.1
4.225
4.6
6.1
0.05
7.85
7.975
1.3333
1.5833
1.4583
2.3958
2.7083
2.8333
2.3333
3.8333
3.5833
3.3333
3.4583
3.2083
3.1916
4.5666
0.55
1.8
1.7333
1.2916
1.6666
1.3
1.55
1.05
1.6251
1.5416
1.6042
4.57
3.825
2.1667
3.54
4.1667
4.4167
4.5417
4.6667
4.2917
5.0417
5.2292
5.5417
5.4167
6.9167
6.1042
7.4167
7.1667
1.65
1.4
1.775
2.65
2.15
2.9
3.4
3.65
3.15
2.1333
3.3833
3.6333
4.8833
5.1333
8.4167
0.6
0.35
0.7917
0.8542
0.6667
0.14
0.9167
0.5417
0.6042
0.85
6.875
0.9375
1.375
1.875
1.0625
1.125
9.2
3.9667
0.2292
0.1667
0.1
2.2
2.9166
2.6666
2.95
3.4166
3.0416
3.2
3.7916
3.95
4.6666
3.2916
4.95
4.7916
4.0416
5.45
5.6666
5.7916
4.2916
5.825
6.7916
0.1042
6.0416
0.0417
6.4166
7.2
7.5416
7.7916
7.7
0.4167
0.3542
0.2917
5.295
8.2916
8.0416
1.8333
1.7083
1.9583
1.2083
1.0833
2.5916
2.5833
2.4583
2.0833
2.9583
2.7667
3.7083
2.2333
3.3583
5.2042
6.7667
6.5167
6.3583
0.4583
0.3333
0.0833
8.7084
0.2083
0.1458
2.8
2.05
2.55
2.3
2.7084
3.1459
3.05
3.0209
3.55
4.5834
4.7084
4.4584
4.2084
4.3334
4.0209
5.7084
6.3
7.8334
7.5834
1.7833
7.7084
7.4584
3.7833
0.7083
0.8958
0.65
0.5833
0.9583
0.8333
0.9
0.4
4.1416
2.4117
0.07
2.24
7.8667
1.35
1.6
1.85
8.5833
1.1
2.1
2.7875
2.35
2.6
3.1
3.35
4.8333
4.3333
4.9583
4.2083
5.3958
5.7083
5.4583
5.2083
5.3333
6.3333
5.8333
5.5833
6.5833
6.4583
6.9583
0.7
1.1459
0.95
1.95
1.2
1.7
1.45
0.28
1.8334
6.2834
1.9167
1.4167
1.2917
1.7917
1.7292
2.4167
2.8542
2.9167
2.2917
2.5417
3.4167
3.6667
3.1667
3.2917
3.7917
3.5417
3.9167
3.1042
0.2
0.45
3.8666
4.65
4.9
4.15
4.7416
5.2416
6.15
1.12
2.87
4.6251
2.4333
4.7167
