Puntuacion_Total
2.4167
7.3333
3.65
5.2084
2.5
4.3333
5.75
1.8
6.85
8.0
5.0
7.5833
7.5
6.375
1.9167
2.25
10.0
1.0
1.75
7.0042
1.0
